NHSD_STATE,NHSD_SERVICE_TYPE
NSW,Private same-day hospital service
NSW,Hospital service
WA,Emergency department service
QLD,Private same-day hospital service
QLD,Hospital service
NSW,Emergency department service
NSW,Emergency department service
QLD,Emergency department service
NSW,Emergency department service
NSW,Emergency department service
VIC,Private same-day hospital service
QLD,Hospital service
QLD,Hospital service
QLD,Hospital-based outpatient clinic
QLD,Emergency department service
QLD,Emergency department service
VIC,Hospital service
WA,Emergency department service
QLD,Private same-day hospital service
VIC,Emergency department service
NSW,Hospital service
SA,Hospital service
ACT,Hospital service
VIC,Hospital-based outpatient clinic
NSW,Emergency department service
NSW,Private same-day hospital service
QLD,Hospital-based outpatient clinic
NSW,Hospital service
NSW,Hospital service
NSW,Hospital service
NSW,Emergency department service
SA,Emergency department service
WA,Private same-day hospital service
NSW,Hospital service
VIC,Hospital service
VIC,Hospital service
NSW,Emergency department service
ACT,Hospital-based outpatient clinic
VIC,Hospital service
QLD,Emergency department service
QLD,Hospital service
NSW,Private same-day hospital service
SA,Private same-day hospital service
VIC,Hospital service
NSW,Private same-day hospital service
NSW,Hospital-based outpatient clinic
VIC,Emergency department service
WA,Hospital-based outpatient clinic
NSW,Emergency department service
NSW,Hospital service
WA,Hospital service
QLD,Emergency department service
WA,Hospital service
NSW,Hospital service
QLD,Hospital-based outpatient clinic
SA,Hospital service
VIC,Hospital service
NSW,Hospital service
NSW,Hospital service
QLD,Emergency department service
NSW,Emergency department service
NSW,Private same-day hospital service
VIC,Private same-day hospital service
QLD,Emergency department service
NSW,Private same-day hospital service
WA,Hospital service
VIC,Private same-day hospital service
WA,Hospital-based outpatient clinic
QLD,Emergency department service
QLD,Hospital service
SA,Hospital service
NSW,Hospital service
VIC,Hospital service
WA,Hospital service
NSW,Private same-day hospital service
NSW,Private same-day hospital service
TAS,Hospital service
QLD,Hospital service
VIC,Hospital service
VIC,Private same-day hospital service
NSW,Private same-day hospital service
WA,Emergency department service
WA,Emergency department service
WA,Hospital service
QLD,Emergency department service
NSW,Hospital service
NSW,Emergency department service
NSW,Emergency department service
NSW,Emergency department service
QLD,Emergency department service
NSW,Private same-day hospital service
NSW,Hospital service
VIC,Hospital service
NSW,Hospital service
TAS,Private same-day hospital service
NSW,Private same-day hospital service
NSW,Emergency department service
VIC,Private same-day hospital service
VIC,Emergency department service
NSW,Hospital-based outpatient clinic
VIC,Hospital service
NSW,Hospital service
SA,Hospital service
VIC,Hospital service
NSW,Private same-day hospital service
VIC,Emergency department service
QLD,Hospital service
NSW,Private same-day hospital service
NSW,Emergency department service
NSW,Hospital service
WA,Emergency department service
VIC,Hospital service
VIC,Emergency department service
NSW,Hospital service
WA,Private same-day hospital service
QLD,Hospital-based outpatient clinic
NSW,Hospital service
VIC,Hospital service
QLD,Hospital service
NSW,Hospital service
VIC,Hospital service
VIC,Emergency department service
TAS,Hospital service
SA,Hospital service
QLD,Hospital service
NSW,Hospital service
NSW,Private same-day hospital service
TAS,Hospital service
QLD,Private same-day hospital service
QLD,Hospital service
WA,Hospital-based outpatient clinic
SA,Emergency department service
NSW,Private same-day hospital service
WA,Private same-day hospital service
NSW,Private same-day hospital service
SA,Emergency department service
NSW,Emergency department service
QLD,Private same-day hospital service
NSW,Private same-day hospital service
QLD,Private same-day hospital service
ACT,Hospital service
NSW,Hospital service
QLD,Hospital service
SA,Private same-day hospital service
SA,Emergency department service
NSW,Private same-day hospital service
SA,Emergency department service
NSW,Hospital service
SA,Emergency department service
NSW,Private same-day hospital service
TAS,Hospital service
QLD,Hospital service
QLD,Private same-day hospital service
QLD,Private same-day hospital service
SA,Private same-day hospital service
NSW,Private same-day hospital service
VIC,Private same-day hospital service
QLD,Hospital-based outpatient clinic
NSW,Emergency department service
NSW,Hospital service
ACT,Hospital service
QLD,Emergency department service
NSW,Private same-day hospital service
WA,Hospital service
QLD,Private same-day hospital service
QLD,Private same-day hospital service
VIC,Private same-day hospital service
NSW,Private same-day hospital service
VIC,Hospital service
NSW,Private same-day hospital service
NSW,Hospital service
SA,Emergency department service
NSW,Private same-day hospital service
VIC,Hospital service
NSW,Hospital service
VIC,Hospital service
WA,Emergency department service
NSW,Hospital service
VIC,Hospital service
VIC,Hospital service
VIC,Hospital service
WA,Hospital service
NSW,Private same-day hospital service
SA,Emergency department service
VIC,Hospital service
NSW,Hospital service
WA,Private same-day hospital service
NSW,Emergency department service
WA,Hospital service
VIC,Hospital service
NSW,Emergency department service
NSW,Hospital service
VIC,Hospital service
QLD,Emergency department service
NSW,Hospital service
WA,Private same-day hospital service
QLD,Hospital-based outpatient clinic
QLD,Hospital-based outpatient clinic
QLD,Emergency department service
QLD,Emergency department service
QLD,Hospital-based outpatient clinic
QLD,Hospital service
VIC,Hospital service
NSW,Hospital service
WA,Hospital service
SA,Hospital service
WA,Hospital service
NSW,Hospital service
NSW,Hospital service
NSW,Hospital service
QLD,Hospital service
NSW,Private same-day hospital service
VIC,Emergency department service
WA,Emergency department service
WA,Hospital service
VIC,Hospital service
QLD,Hospital service
QLD,Hospital service
SA,Emergency department service
WA,Emergency department service
WA,Hospital service
VIC,Hospital service
NSW,Hospital service
WA,Private same-day hospital service
QLD,Private same-day hospital service
WA,Hospital service
TAS,Emergency department service
QLD,Emergency department service
QLD,Emergency department service
SA,Emergency department service
VIC,Private same-day hospital service
NSW,Emergency department service
NSW,Hospital-based outpatient clinic
NSW,Hospital service
VIC,Private same-day hospital service
VIC,Private same-day hospital service
NSW,Hospital service
SA,Private same-day hospital service
QLD,Emergency department service
VIC,Private same-day hospital service
NSW,Hospital service
QLD,Hospital service
QLD,Hospital service
WA,Hospital service
VIC,Private same-day hospital service
QLD,Emergency department service
VIC,Hospital service
VIC,Private same-day hospital service
QLD,Hospital service
SA,Hospital service
NSW,Hospital service
VIC,Hospital service
VIC,Emergency department service
NSW,Private same-day hospital service
NSW,Hospital service
VIC,Private same-day hospital service
SA,Hospital service
QLD,Hospital service
QLD,Hospital service
WA,Emergency department service
SA,Private same-day hospital service
NSW,Hospital service
QLD,Hospital-based outpatient clinic
WA,Emergency department service
TAS,Hospital service
WA,Hospital service
NSW,Hospital service
NSW,Emergency department service
VIC,Private same-day hospital service
NSW,Hospital service
NSW,Hospital service
NSW,Private same-day hospital service
VIC,Emergency department service
NSW,Hospital service
WA,Hospital service
QLD,Hospital-based outpatient clinic
WA,Private same-day hospital service
WA,Hospital service
NSW,Emergency department service
QLD,Private same-day hospital service
NSW,Hospital service
NSW,Emergency department service
SA,Hospital service
VIC,Hospital-based outpatient clinic
VIC,Private same-day hospital service
SA,Emergency department service
WA,Hospital service
VIC,Hospital service
NSW,Emergency department service
WA,Emergency department service
NSW,Private same-day hospital service
QLD,Hospital service
NSW,Private same-day hospital service
QLD,Hospital service
WA,Private same-day hospital service
QLD,Private same-day hospital service
NSW,Emergency department service
NSW,Hospital service
NSW,Private same-day hospital service
WA,Hospital service
NSW,Hospital service
NSW,Hospital service
NSW,Hospital service
VIC,Hospital service
WA,Private same-day hospital service
NSW,Hospital service
QLD,Emergency department service
NSW,Private same-day hospital service
VIC,Hospital service
VIC,Private same-day hospital service
VIC,Hospital service
QLD,Emergency department service
QLD,Hospital-based outpatient clinic
QLD,Hospital-based outpatient clinic
NSW,Hospital service
VIC,Hospital service
NSW,Hospital service
VIC,Hospital service
NSW,Hospital service
WA,Hospital-based outpatient clinic
QLD,Hospital-based outpatient clinic
NSW,Private same-day hospital service
VIC,Hospital service
WA,Emergency department service
WA,Private same-day hospital service
SA,Hospital service
WA,Hospital service
NSW,Hospital service
NSW,Private same-day hospital service
QLD,Private same-day hospital service
VIC,Hospital service
NSW,Emergency department service
NSW,Private same-day hospital service
WA,Hospital service
VIC,Private same-day hospital service
NSW,Hospital service
VIC,Hospital service
QLD,Hospital service
WA,Emergency department service
TAS,Hospital service
NSW,Hospital service
QLD,Hospital-based outpatient clinic
NSW,Hospital service
NSW,Private same-day hospital service
NSW,Hospital service
VIC,Hospital service
NSW,Emergency department service
QLD,Hospital service
QLD,Emergency department service
VIC,Hospital service
NSW,Private same-day hospital service
NSW,Hospital service
SA,Emergency department service
SA,Hospital service
NSW,Hospital service
QLD,Hospital service
QLD,Hospital-based outpatient clinic
QLD,Hospital service
QLD,Private same-day hospital service
SA,Hospital service
VIC,Emergency department service
NSW,Private same-day hospital service
QLD,Hospital service
VIC,Hospital service
QLD,Emergency department service
VIC,Private same-day hospital service
NSW,Hospital service
NSW,Emergency department service
QLD,Hospital-based outpatient clinic
QLD,Hospital service
VIC,Private same-day hospital service
VIC,Hospital service
NSW,Hospital service
NSW,Hospital-based outpatient clinic
QLD,Emergency department service
VIC,Emergency department service
NSW,Emergency department service
NSW,Hospital service
VIC,Hospital service
WA,Emergency department service
NSW,Hospital service
SA,Hospital service
SA,Hospital service
QLD,Emergency department service
NSW,Emergency department service
SA,Private same-day hospital service
NSW,Private same-day hospital service
VIC,Private same-day hospital service
VIC,Hospital service
NT,Hospital service
QLD,Private same-day hospital service
NSW,Private same-day hospital service
QLD,Hospital-based outpatient clinic
SA,Private same-day hospital service
VIC,Emergency department service
QLD,Hospital service
VIC,Hospital service
NSW,Emergency department service
VIC,Emergency department service
QLD,Private same-day hospital service
NSW,Hospital service
VIC,Emergency department service
QLD,Hospital service
QLD,Emergency department service
NSW,Hospital service
VIC,Hospital service
NSW,Hospital service
NSW,Hospital service
QLD,Hospital service
NSW,Emergency department service
VIC,Private same-day hospital service
QLD,Emergency department service
VIC,Emergency department service
SA,Emergency department service
NSW,Private same-day hospital service
NSW,Private same-day hospital service
NSW,Private same-day hospital service
NSW,Emergency department service
VIC,Hospital service
WA,Emergency department service
WA,Emergency department service
NSW,Hospital service
QLD,Emergency department service
VIC,Hospital service
NT,Emergency department service
TAS,Hospital service
QLD,Hospital service
SA,Emergency department service
QLD,Private same-day hospital service
VIC,Hospital service
NSW,Emergency department service
VIC,Hospital service
QLD,Emergency department service
QLD,Hospital service
QLD,Hospital-based outpatient clinic
NSW,Hospital service
NSW,Hospital service
VIC,Private same-day hospital service
VIC,Hospital-based outpatient clinic
NSW,Hospital service
QLD,Hospital service
QLD,Emergency department service
QLD,Emergency department service
VIC,Hospital service
WA,Hospital service
SA,Private same-day hospital service
SA,Emergency department service
NSW,Hospital service
VIC,Private same-day hospital service
QLD,Hospital service
SA,Hospital service
VIC,Emergency department service
VIC,Hospital service
QLD,Emergency department service
QLD,Hospital service
NSW,Hospital service
VIC,Private same-day hospital service
WA,Emergency department service
NSW,Private same-day hospital service
QLD,Hospital-based outpatient clinic
VIC,Private same-day hospital service
TAS,Hospital service
QLD,Hospital service
QLD,Hospital service
VIC,Hospital service
SA,Private same-day hospital service
SA,Private same-day hospital service
QLD,Emergency department service
NSW,Private same-day hospital service
QLD,Emergency department service
NSW,Private same-day hospital service
NSW,Emergency department service
VIC,Hospital service
NSW,Hospital service
NSW,Hospital service
VIC,Hospital service
NSW,Hospital service
SA,Hospital service
NSW,Emergency department service
WA,Private same-day hospital service
NSW,Emergency department service
SA,Emergency department service
NSW,Emergency department service
NSW,Hospital service
SA,Emergency department service
VIC,Emergency department service
NSW,Emergency department service
VIC,Private same-day hospital service
WA,Hospital service
NSW,Private same-day hospital service
VIC,Emergency department service
WA,Emergency department service
ACT,Hospital service
WA,Hospital service
VIC,Hospital-based outpatient clinic
NSW,Hospital service
TAS,Hospital service
VIC,Emergency department service
SA,Emergency department service
SA,Emergency department service
QLD,Hospital service
WA,Private same-day hospital service
QLD,Emergency department service
NSW,Hospital service
SA,Hospital service
WA,Hospital service
QLD,Private same-day hospital service
NSW,Hospital service
QLD,Emergency department service
WA,Emergency department service
NSW,Hospital service
QLD,Private same-day hospital service
SA,Emergency department service
VIC,Hospital service
QLD,Hospital service
VIC,Emergency department service
VIC,Emergency department service
WA,Hospital service
NSW,Emergency department service
WA,Hospital service
NSW,Emergency department service
NSW,Hospital service
VIC,Hospital service
NSW,Private same-day hospital service
VIC,Hospital service
VIC,Hospital service
VIC,Emergency department service
NSW,Hospital service
QLD,Emergency department service
ACT,Private same-day hospital service
NSW,Hospital service
VIC,Hospital-based outpatient clinic
NSW,Private same-day hospital service
QLD,Hospital service
NSW,Emergency department service
QLD,Emergency department service
SA,Hospital service
VIC,Emergency department service
TAS,Hospital service
QLD,Hospital service
VIC,Hospital service
VIC,Hospital-based outpatient clinic
VIC,Private same-day hospital service
SA,Hospital service
VIC,Hospital service
QLD,Hospital-based outpatient clinic
QLD,Hospital service
NSW,Hospital service
NSW,Emergency department service
NSW,Hospital service
WA,Emergency department service
QLD,Emergency department service
VIC,Hospital service
NSW,Hospital service
TAS,Emergency department service
VIC,Private same-day hospital service
QLD,Hospital service
VIC,Hospital service
TAS,Private same-day hospital service
VIC,Hospital service
VIC,Hospital service
NT,Emergency department service
QLD,Emergency department service
VIC,Hospital service
WA,Hospital service
NSW,Private same-day hospital service
NSW,Hospital service
VIC,Hospital service
QLD,Hospital service
NSW,Hospital service
VIC,Hospital service
NSW,Hospital service
NSW,Private same-day hospital service
QLD,Hospital service
WA,Private same-day hospital service
SA,Emergency department service
VIC,Emergency department service
WA,Hospital service
NSW,Emergency department service
SA,Private same-day hospital service
VIC,Hospital service
NSW,Hospital service
NSW,Emergency department service
QLD,Hospital service
NSW,Hospital-based outpatient clinic
NSW,Hospital service
QLD,Emergency department service
NT,Hospital service
QLD,Emergency department service
WA,Hospital service
VIC,Hospital service
TAS,Hospital service
NSW,Hospital service
SA,Hospital service
NSW,Hospital service
NSW,Hospital service
VIC,Private same-day hospital service
VIC,Private same-day hospital service
QLD,Emergency department service
VIC,Hospital service
VIC,Private same-day hospital service
NSW,Hospital-based outpatient clinic
VIC,Hospital service
SA,Hospital service
NSW,Emergency department service
SA,Emergency department service
SA,Private same-day hospital service
VIC,Private same-day hospital service
ACT,Emergency department service
QLD,Hospital-based outpatient clinic
NSW,Hospital service
WA,Hospital service
VIC,Hospital service
VIC,Hospital service
QLD,Emergency department service
ACT,Hospital service
NSW,Hospital service
WA,Hospital service
SA,Emergency department service
NSW,Emergency department service
QLD,Hospital service
QLD,Hospital-based outpatient clinic
WA,Emergency department service
NSW,Hospital service
SA,Hospital service
VIC,Emergency department service
SA,Hospital service
WA,Hospital service
NSW,Hospital service
TAS,Hospital service
NSW,Hospital service
VIC,Hospital service
NSW,Private same-day hospital service
WA,Hospital service
QLD,Emergency department service
VIC,Emergency department service
NSW,Private same-day hospital service
NSW,Hospital service
VIC,Hospital-based outpatient clinic
NSW,Hospital service
NSW,Hospital service
NSW,Hospital service
VIC,Hospital service
QLD,Private same-day hospital service
NSW,Hospital service
SA,Emergency department service
QLD,Private same-day hospital service
NSW,Hospital service
QLD,Hospital service
WA,Emergency department service
SA,Private same-day hospital service
WA,Private same-day hospital service
VIC,Hospital service
NSW,Hospital service
VIC,Hospital service
NSW,Private same-day hospital service
VIC,Private same-day hospital service
VIC,Private same-day hospital service
TAS,Hospital service
QLD,Emergency department service
NSW,Emergency department service
NSW,Hospital service
NSW,Private same-day hospital service
WA,Emergency department service
VIC,Hospital service
WA,Hospital service
NSW,Hospital service
QLD,Hospital service
NSW,Hospital service
VIC,Hospital-based outpatient clinic
NSW,Hospital service
SA,Private same-day hospital service
QLD,Emergency department service
NSW,Emergency department service
SA,Hospital service
SA,Private same-day hospital service
NSW,Private same-day hospital service
VIC,Hospital service
NSW,Hospital service
WA,Hospital service
NSW,Hospital service
NSW,Emergency department service
VIC,Hospital service
VIC,Hospital service
SA,Hospital service
WA,Emergency department service
VIC,Hospital service
VIC,Emergency department service
NSW,Hospital service
WA,Hospital-based outpatient clinic
VIC,Private same-day hospital service
QLD,Emergency department service
WA,Emergency department service
NSW,Emergency department service
VIC,Private same-day hospital service
VIC,Hospital-based outpatient clinic
VIC,Hospital service
VIC,Hospital service
WA,Hospital service
VIC,Emergency department service
NSW,Hospital service
QLD,Hospital service
QLD,Hospital-based outpatient clinic
NSW,Emergency department service
QLD,Hospital service
VIC,Hospital service
ACT,Hospital service
NSW,Private same-day hospital service
NSW,Emergency department service
SA,Hospital service
SA,Emergency department service
NSW,Hospital service
VIC,Hospital service
VIC,Private same-day hospital service
QLD,Emergency department service
SA,Hospital service
VIC,Private same-day hospital service
SA,Hospital service
WA,Emergency department service
WA,Emergency department service
QLD,Emergency department service
NSW,Hospital service
NSW,Emergency department service
VIC,Private same-day hospital service
VIC,Private same-day hospital service
VIC,Hospital service
QLD,Private same-day hospital service
NSW,Private same-day hospital service
NSW,Private same-day hospital service
SA,Hospital service
QLD,Emergency department service
NSW,Hospital service
QLD,Private same-day hospital service
QLD,Hospital service
NSW,Emergency department service
NSW,Hospital-based outpatient clinic
VIC,Hospital-based outpatient clinic
VIC,Hospital service
VIC,Hospital-based outpatient clinic
VIC,Hospital-based outpatient clinic
NT,Hospital-based outpatient clinic
VIC,Private same-day hospital service
QLD,Hospital service
VIC,Private same-day hospital service
VIC,Private same-day hospital service
QLD,Hospital service
NSW,Hospital service
SA,Private same-day hospital service
VIC,Private same-day hospital service
QLD,Hospital service
QLD,Hospital service
VIC,Private same-day hospital service
VIC,Private same-day hospital service
QLD,Hospital service
SA,Hospital-based outpatient clinic
SA,Private same-day hospital service
VIC,Hospital service
VIC,Hospital service
VIC,Hospital service
NSW,Hospital service
ACT,Hospital service
VIC,Hospital service
TAS,Hospital service
WA,Hospital service
NSW,Private same-day hospital service
NSW,Emergency department service
QLD,Private same-day hospital service
NSW,Emergency department service
NSW,Emergency department service
NSW,Emergency department service
VIC,Hospital service
NSW,Private same-day hospital service
NSW,Hospital service
NSW,Hospital service
VIC,Hospital service
QLD,Hospital service
NSW,Private same-day hospital service
VIC,Hospital service
NSW,Hospital service
QLD,Hospital service
NSW,Hospital service
NSW,Hospital service
SA,Private same-day hospital service
QLD,Emergency department service
VIC,Hospital service
VIC,Hospital service
TAS,Hospital service
NSW,Emergency department service
TAS,Hospital service
SA,Emergency department service
NSW,Hospital-based outpatient clinic
VIC,Hospital-based outpatient clinic
QLD,Hospital service
SA,Hospital service
SA,Emergency department service
QLD,Hospital service
NSW,Hospital service
TAS,Emergency department service
NSW,Private same-day hospital service
VIC,Hospital service
QLD,Hospital service
NSW,Private same-day hospital service
NSW,Emergency department service
VIC,Emergency department service
QLD,Hospital service
WA,Emergency department service
TAS,Hospital service
QLD,Private same-day hospital service
VIC,Private same-day hospital service
WA,Hospital service
WA,Hospital service
QLD,Private same-day hospital service
QLD,Emergency department service
NSW,Private same-day hospital service
SA,Hospital service
VIC,Hospital service
NT,Emergency department service
WA,Hospital service
QLD,Emergency department service
WA,Emergency department service
QLD,Hospital-based outpatient clinic
QLD,Private same-day hospital service
QLD,Emergency department service
VIC,Hospital service
VIC,Emergency department service
VIC,Hospital-based outpatient clinic
VIC,Hospital service
SA,Hospital service
QLD,Emergency department service
VIC,Hospital-based outpatient clinic
SA,Emergency department service
NSW,Hospital service
NSW,Hospital service
SA,Hospital service
WA,Hospital-based outpatient clinic
SA,Private same-day hospital service
VIC,Private same-day hospital service
VIC,Private same-day hospital service
ACT,Hospital service
VIC,Hospital service
QLD,Hospital-based outpatient clinic
SA,Emergency department service
QLD,Hospital service
QLD,Emergency department service
VIC,Hospital service
NSW,Hospital-based outpatient clinic
QLD,Hospital service
VIC,Emergency department service
ACT,Private same-day hospital service
NSW,Hospital-based outpatient clinic
NSW,Emergency department service
VIC,Emergency department service
NSW,Hospital service
VIC,Emergency department service
NT,Emergency department service
NSW,Hospital service
NSW,Private same-day hospital service
QLD,Private same-day hospital service
NSW,Hospital service
WA,Hospital service
NSW,Private same-day hospital service
VIC,Hospital service
WA,Hospital service
VIC,Hospital service
QLD,Hospital service
QLD,Hospital service
NSW,Private same-day hospital service
NSW,Hospital service
VIC,Hospital service
NSW,Emergency department service
NSW,Private same-day hospital service
NSW,Private same-day hospital service
NSW,Emergency department service
VIC,Hospital service
WA,Hospital-based outpatient clinic
QLD,Emergency department service
VIC,Hospital service
NSW,Hospital service
QLD,Hospital service
NSW,Hospital service
QLD,Private same-day hospital service
NSW,Hospital service
NSW,Private same-day hospital service
NSW,Private same-day hospital service
NSW,Emergency department service
WA,Emergency department service
VIC,Hospital service
WA,Emergency department service
TAS,Hospital service
WA,Private same-day hospital service
VIC,Emergency department service
WA,Emergency department service
QLD,Hospital service
VIC,Emergency department service
VIC,Private same-day hospital service
SA,Hospital service
NSW,Emergency department service
SA,Hospital service
NSW,Hospital service
QLD,Hospital service
WA,Hospital-based outpatient clinic
NSW,Hospital service
VIC,Hospital service
QLD,Emergency department service
NSW,Private same-day hospital service
QLD,Hospital-based outpatient clinic
NSW,Hospital service
QLD,Hospital service
WA,Private same-day hospital service
NSW,Private same-day hospital service
NSW,Emergency department service
NSW,Hospital service
VIC,Emergency department service
SA,Private same-day hospital service
VIC,Private same-day hospital service
QLD,Hospital-based outpatient clinic
NSW,Hospital service
QLD,Hospital-based outpatient clinic
NSW,Hospital service
ACT,Private same-day hospital service
VIC,Hospital service
NSW,Hospital service
WA,Hospital service
NSW,Private same-day hospital service
SA,Private same-day hospital service
QLD,Emergency department service
TAS,Hospital service
VIC,Hospital service
WA,Hospital service
QLD,Private same-day hospital service
QLD,Private same-day hospital service
NSW,Emergency department service
TAS,Emergency department service
QLD,Emergency department service
QLD,Private same-day hospital service
QLD,Emergency department service
NSW,Hospital service
VIC,Hospital service
SA,Private same-day hospital service
SA,Hospital service
NSW,Private same-day hospital service
VIC,Hospital service
NSW,Private same-day hospital service
NSW,Emergency department service
NSW,Private same-day hospital service
NSW,Hospital service
QLD,Hospital service
QLD,Private same-day hospital service
VIC,Emergency department service
QLD,Emergency department service
TAS,Hospital service
VIC,Hospital service
VIC,Emergency department service
VIC,Private same-day hospital service
NSW,Hospital service
NSW,Hospital service
QLD,Hospital service
QLD,Hospital service
VIC,Private same-day hospital service
WA,Private same-day hospital service
QLD,Hospital service
QLD,Emergency department service
VIC,Emergency department service
NT,Hospital service
VIC,Pharmacy service
QLD,Pharmacy service
VIC,Pharmacy service
NSW,Pharmacy service
SA,Pharmacy service
VIC,Pharmacy service
QLD,Pharmacy service
VIC,Pharmacy service
QLD,Pharmacy service
QLD,Pharmacy service
VIC,Pharmacy service
QLD,Pharmacy service
VIC,Pharmacy service
NSW,Pharmacy service
VIC,Pharmacy service
NSW,Pharmacy service
NSW,Pharmacy service
VIC,Pharmacy service
VIC,Pharmacy service
VIC,Pharmacy service
NSW,Pharmacy service
QLD,Pharmacy service
QLD,Pharmacy service
NSW,Pharmacy service
NSW,Pharmacy service
WA,Pharmacy service
WA,Pharmacy service
VIC,Pharmacy service
VIC,Pharmacy service
TAS,Pharmacy service
QLD,Pharmacy service
VIC,Pharmacy service
NSW,Hospital pharmacy service
VIC,Pharmacy service
NSW,Pharmacy service
NSW,Pharmacy service
SA,Pharmacy service
VIC,Pharmacy service
VIC,Pharmacy service
WA,Pharmacy service
SA,Pharmacy service
VIC,Pharmacy service
NT,Pharmacy service
QLD,Pharmacy service
NSW,Pharmacy service
VIC,Pharmacy service
QLD,Pharmacy service
NSW,Pharmacy service
QLD,Pharmacy service
SA,Pharmacy service
VIC,Pharmacy service
VIC,Pharmacy service
QLD,Pharmacy service
NSW,Pharmacy service
VIC,Pharmacy service
VIC,Pharmacy service
VIC,Pharmacy service
WA,Pharmacy service
TAS,Pharmacy service
NSW,Pharmacy service
NSW,Pharmacy service
NSW,Pharmacy service
NSW,Pharmacy service
QLD,Pharmacy service
SA,Pharmacy service
SA,Pharmacy service
QLD,Pharmacy service
QLD,Pharmacy service
NSW,Pharmacy service
QLD,Pharmacy service
QLD,Pharmacy service
QLD,Pharmacy service
VIC,Pharmacy service
NSW,Pharmacy service
TAS,Pharmacy service
QLD,Pharmacy service
VIC,Pharmacy service
QLD,Pharmacy service
SA,Pharmacy service
NSW,Pharmacy service
NSW,Pharmacy service
NSW,Pharmacy service
VIC,Pharmacy service
SA,Pharmacy service
VIC,Pharmacy service
QLD,Pharmacy service
QLD,Pharmacy service
NSW,Pharmacy service
ACT,Pharmacy service
WA,Pharmacy service
VIC,Pharmacy service
QLD,Pharmacy service
ACT,Pharmacy service
SA,Pharmacy service
QLD,Pharmacy service
TAS,Pharmacy service
NSW,Pharmacy service
NSW,Pharmacy service
QLD,Pharmacy service
TAS,Pharmacy service
VIC,Pharmacy service
SA,Pharmacy service
QLD,Pharmacy service
SA,Pharmacy service
NSW,Pharmacy service
NSW,Pharmacy service
NSW,Pharmacy service
NT,Pharmacy service
ACT,Pharmacy service
NSW,Pharmacy service
QLD,Pharmacy service
QLD,Pharmacy service
WA,Pharmacy service
NSW,Pharmacy service
ACT,Pharmacy service
QLD,Pharmacy service
QLD,Hospital pharmacy service
QLD,Pharmacy service
WA,Pharmacy service
VIC,Pharmacy service
WA,Pharmacy service
VIC,Pharmacy service
NSW,Pharmacy service
SA,Pharmacy service
ACT,Pharmacy service
VIC,Pharmacy service
QLD,Pharmacy service
NSW,Pharmacy service
QLD,Pharmacy service
VIC,Pharmacy service
VIC,Pharmacy service
SA,Pharmacy service
VIC,Pharmacy service
VIC,Pharmacy service
VIC,Pharmacy service
WA,Pharmacy service
NSW,Pharmacy service
SA,Pharmacy service
WA,Pharmacy service
NSW,Pharmacy service
VIC,Pharmacy service
QLD,Pharmacy service
SA,Pharmacy service
NSW,Pharmacy service
WA,Pharmacy service
NSW,Pharmacy service
VIC,Pharmacy service
VIC,Pharmacy service
NSW,Pharmacy service
SA,Pharmacy service
NSW,Pharmacy service
SA,Pharmacy service
SA,Pharmacy service
VIC,Pharmacy service
SA,Pharmacy service
VIC,Pharmacy service
TAS,Pharmacy service
SA,Pharmacy service
NSW,Pharmacy service
QLD,Pharmacy service
VIC,Pharmacy service
NSW,Pharmacy service
QLD,Pharmacy service
QLD,Pharmacy service
VIC,Pharmacy service
VIC,Pharmacy service
QLD,Pharmacy service
QLD,Pharmacy service
SA,Pharmacy service
VIC,Pharmacy service
NSW,Pharmacy service
QLD,Hospital pharmacy service
QLD,Pharmacy service
VIC,Pharmacy service
VIC,Pharmacy service
VIC,Pharmacy service
ACT,Pharmacy service
SA,Pharmacy service
VIC,Pharmacy service
VIC,Pharmacy service
QLD,Pharmacy service
VIC,Pharmacy service
VIC,Pharmacy service
VIC,Pharmacy service
QLD,Pharmacy service
TAS,Pharmacy service
QLD,Pharmacy service
SA,Pharmacy service
VIC,Pharmacy service
NSW,Pharmacy service
NSW,Pharmacy service
NSW,Pharmacy service
NSW,Pharmacy service
NT,Pharmacy service
VIC,Pharmacy service
VIC,Pharmacy service
SA,Pharmacy service
QLD,Pharmacy service
NSW,Pharmacy service
QLD,Pharmacy service
WA,Pharmacy service
VIC,Pharmacy service
QLD,Pharmacy service
VIC,Pharmacy service
WA,Pharmacy service
VIC,Pharmacy service
SA,Pharmacy service
VIC,Pharmacy service
NSW,Pharmacy service
SA,Pharmacy service
NSW,Pharmacy service
NSW,Pharmacy service
SA,Pharmacy service
QLD,Pharmacy service
NT,Pharmacy service
WA,Pharmacy service
NSW,Pharmacy service
NSW,Pharmacy service
WA,Pharmacy service
QLD,Pharmacy service
QLD,Pharmacy service
VIC,Pharmacy service
TAS,Pharmacy service
QLD,Pharmacy service
QLD,Pharmacy service
WA,Pharmacy service
QLD,Pharmacy service
QLD,Pharmacy service
SA,Pharmacy service
SA,Pharmacy service
SA,Pharmacy service
VIC,Pharmacy service
NSW,Pharmacy service
SA,Pharmacy service
QLD,Pharmacy service
SA,Pharmacy service
NSW,Pharmacy service
NSW,Pharmacy service
QLD,Pharmacy service
NSW,Pharmacy service
VIC,Pharmacy service
NSW,Pharmacy service
VIC,Pharmacy service
QLD,Pharmacy service
NSW,Pharmacy service
SA,Pharmacy service
WA,Pharmacy service
TAS,Pharmacy service
VIC,Pharmacy service
